"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 28 13:40:02 MSK 2025","Fri Mar 28 13:40:03 MSK 2025","1457","","tests.CustomerSortingTest","","tests.CustomerSortingTest","shouldSortCustomersByNameCorrectly","Проверка сортировки клиентов по имени","Проверка корректности работы сортировки клиентов по полю First Name"
"passed","Fri Mar 28 13:39:57 MSK 2025","Fri Mar 28 13:39:59 MSK 2025","2598","","tests.AverageCustomerDeletionTest","","tests.AverageCustomerDeletionTest","shouldDeleteAndRecreateCustomerSuccessfully","Удаление клиента со средней длиной имени","Проверка удаления клиента, чье имя имеет длину, наиболее близкую к средней"
"passed","Fri Mar 28 13:39:50 MSK 2025","Fri Mar 28 13:39:53 MSK 2025","3217","","tests.AddCustomerTest","","tests.AddCustomerTest","shouldAddCustomerSuccessfully","Добавление нового клиента","Проверка успешного добавления нового клиента в систему"
